generation,population_size,mean_fitness,max_fitness,entropy,mutual_information,travel_gene_freq,num_migrations
0,174,-22671.016578917195,-0.9145940027208326,9.670326244802597,0.32967375519740294,0.4827586206896552,0
1,176,-10343.82570195713,-0.9145940027208326,8.938749564858785,1.0612504351412149,0.48863636363636365,0
2,168,-15823.899352240704,-3.6900678004798095,8.267703021601582,1.7322969783984181,0.4880952380952381,0
3,158,-214250.94243529218,-14005.181053221342,7.504631607115604,2.495368392884396,0.3987341772151899,0
4,166,-113903.90537075396,-0.9493370670407071,8.485043711982017,1.5149562880179825,0.4457831325301205,0
5,178,-22881.155589282498,-1.3936216819683622,7.632354482063514,2.367645517936486,0.4044943820224719,0
6,176,-4408.895076986176,-16.670457487455252,7.113559203445383,2.8864407965546173,0.39204545454545453,0
7,178,-5226.277509721593,-16.670457487455252,6.751918694205886,3.2480813057941136,0.4438202247191011,0
8,176,-6830.876812458676,-16.670457487455252,6.425174026196647,3.574825973803353,0.6022727272727273,0
9,170,-5407.222629010366,-0.012909753037228633,5.96091269841868,4.03908730158132,0.6705882352941176,0
10,174,-7351.424602320099,-0.012909753037228633,6.608007134673525,3.3919928653264746,0.5344827586206896,0
11,170,-4605.677510358204,-42.720555130127295,6.64468038816604,3.35531961183396,0.5647058823529412,0
12,164,-4146.6284032059075,-42.720555130127295,6.631821644509914,3.3681783554900857,0.5365853658536586,0
13,170,-9948.242964896015,-0.2630323405706818,6.477913736449353,3.522086263550647,0.5529411764705883,0
14,168,-1168.706414000944,-47.32345579474533,6.41762491584858,3.58237508415142,0.5833333333333334,0
15,166,-1181.419271927417,-47.32345579474533,6.625434726709149,3.374565273290851,0.5060240963855421,0
16,168,-1961.055090400264,-0.0807013260603684,6.46777448777455,3.53222551222545,0.4642857142857143,0
17,160,-163474.8104965848,-56940.49745990326,6.376876171094714,3.6231238289052863,0.5,0
18,178,-148483.0420320802,-56888.329721985734,7.7216938135465085,2.2783061864534915,0.5337078651685393,0
19,186,-132838.83682872108,-55518.9536809047,8.687053105495995,1.3129468945040053,0.532258064516129,0
20,166,-13209.689540657366,-1.0,8.705305807883434,1.294694192116566,0.5903614457831325,0
21,172,-9099.814827837727,-1.0,9.070077987834171,0.9299220121658287,0.5465116279069767,0
22,172,-6767.995804370381,-18.357716751083277,8.64691446177715,1.3530855382228495,0.4941860465116279,0
23,178,-5218.239317502094,-1.655119589159355,8.035835116087172,1.9641648839128276,0.5168539325842697,0
24,168,-8981.627659627853,-13.452083947246265,7.649589547288163,2.350410452711837,0.4642857142857143,0
25,168,-9002.821387142265,-13.452083947246265,7.41377163537269,2.58622836462731,0.5476190476190477,0
26,172,-11499.295786397786,-0.5924734652156758,6.859211030457914,3.1407889695420863,0.5581395348837209,0
27,172,-3290.5749669331635,-0.523587817029231,7.0008068062485265,2.9991931937514735,0.5232558139534884,0
28,172,-13614.501831644957,-63.93212943672037,6.8705382926989085,3.1294617073010915,0.5813953488372093,0
29,180,-31371.79738302818,-0.1031066087545458,7.104073031935722,2.895926968064278,0.5611111111111111,0
30,178,-906.4054922824491,-1.1122273406775491,6.744837210528734,3.2551627894712656,0.6123595505617978,0
31,180,-926.8773540349521,-0.11222734067754914,6.8686827938279995,3.1313172061720005,0.5888888888888889,0
32,174,-9327.311915192086,-0.0,6.9059615673755275,3.0940384326244725,0.6149425287356322,0
