generation,population_size,mean_fitness,max_fitness,entropy,mutual_information,travel_gene_freq,num_migrations
0,164,-10840.356047815356,-75.64751830220683,9.84914614647881,0.1508538535211894,0.5365853658536586,0
1,164,-9046.275422163308,-76.64751830220683,9.527561632025046,0.472438367974954,0.5914634146341463,0
2,172,-7971.478041476399,-75.64751830220683,9.515079637650903,0.4849203623490972,0.5872093023255814,0
3,166,-6767.7889954115135,-76.64751830220683,9.282027447798361,0.7179725522016387,0.608433734939759,0
4,176,-6945.562568341502,-76.64751830220683,9.395563680386106,0.6044363196138942,0.5397727272727273,0
5,170,-7035.314032169993,-75.64751830220683,9.440924113712743,0.5590758862872569,0.4823529411764706,0
6,170,-6814.833815767159,-75.64751830220683,9.351715762704229,0.6482842372957709,0.5,0
7,172,-6869.804512646975,-75.64751830220683,9.415374765275596,0.5846252347244043,0.48255813953488375,0
8,166,-7961.380176778456,-76.64751830220683,9.425841392054783,0.5741586079452166,0.5120481927710844,0
9,170,-7760.058625610082,-75.64751830220683,9.532941698105766,0.4670583018942338,0.48823529411764705,0
10,166,-7443.198973649804,-75.64751830220683,9.48642859272346,0.5135714072765403,0.572289156626506,0
11,176,-7641.170829308984,-75.64751830220683,9.559578026788033,0.44042197321196674,0.5681818181818182,0
12,166,-7383.461610369674,-75.64751830220683,9.515832293074299,0.4841677069257013,0.46987951807228917,0
13,170,-7011.377154117215,-75.64751830220683,9.428949745700516,0.5710502542994842,0.43529411764705883,0
14,166,-7074.135463803794,-75.64751830220683,9.383501702980054,0.6164982970199464,0.4036144578313253,0
15,162,-6189.082718197967,-75.64751830220683,9.284427356052616,0.7155726439473842,0.48148148148148145,0
16,180,-6227.1403627480795,-76.64751830220683,9.288090536135321,0.7119094638646786,0.5222222222222223,0
17,168,-7355.120592319152,-75.64751830220683,9.47571978144903,0.5242802185509703,0.48214285714285715,0
18,164,-7805.2985295283115,-75.64751830220683,9.537549780620258,0.4624502193797415,0.4573170731707317,0
19,170,-7066.9063809145955,-75.64751830220683,9.424283498393658,0.5757165016063421,0.4470588235294118,0
20,174,-6209.682774572617,-75.64751830220683,9.147580251395269,0.8524197486047314,0.4885057471264368,0
21,172,-12102.38016620068,-0.0957813934440157,9.486031511151925,0.5139684888480751,0.5348837209302325,0
22,160,-10658.271282081292,-0.9042186065559843,9.337040108946255,0.6629598910537453,0.48125,0
23,166,-11006.021703157852,-0.0957813934440157,9.402032772674836,0.5979672273251637,0.46987951807228917,0
24,168,-11499.98434986162,-0.0957813934440157,9.391517229044391,0.6084827709556091,0.5357142857142857,0
25,180,-11171.06441526885,-0.0957813934440157,9.404218572239534,0.5957814277604658,0.5222222222222223,0
26,170,-10348.99740162181,-0.0957813934440157,9.266125509322048,0.7338744906779517,0.5058823529411764,0
