generation,population_size,mean_fitness,max_fitness,entropy,mutual_information,travel_gene_freq,num_migrations
0,164,-3199.7775905577314,-9.447350339248544,7.66234327574502,0.3376567242549804,0.4878048780487805,12
1,162,-1339.3760950763653,-9.447350339248544,7.061182518523157,0.9388174814768426,0.3950617283950617,14
2,176,-1194.4507783876577,-9.447350339248544,6.8000160441098,1.1999839558902003,0.4431818181818182,27
3,171,-553.9171604622228,-11.682230852539334,6.318928438778981,1.6810715612210192,0.4444444444444444,34
4,156,-479.5856123774026,-11.682230852539334,6.041443897429483,1.9585561025705172,0.42948717948717946,28
5,182,-423.07030872043345,-11.682230852539334,5.945000430221355,2.054999569778645,0.3901098901098901,26
6,167,-412.72946436204006,-11.682230852539334,5.466780630160608,2.533219369839392,0.2694610778443114,27
7,177,-321.00291954643086,-0.4038707643534991,5.4518205697829725,2.5481794302170275,0.3050847457627119,22
8,173,-277.67441026751015,-0.4038707643534991,5.656969641208143,2.3430303587918573,0.32947976878612717,18
9,179,-309.3644969098576,-0.4038707643534991,5.655648609112905,2.3443513908870948,0.2849162011173184,21
10,182,-234.96484178096307,-0.4038707643534991,5.280073311117263,2.7199266888827367,0.2692307692307692,15
11,159,-351.1847130405441,-0.2689166158047396,4.9446814512537305,3.0553185487462695,0.20754716981132076,8
12,168,-14958.52960538684,-1630.8903593601553,4.980634234891651,3.0193657651083488,0.25,6
13,165,-12642.799924035806,-1317.457963569981,6.407395848353801,1.5926041516461993,0.3090909090909091,13
14,175,-10321.270303742955,-1307.8296427902242,7.179075077526103,0.820924922473897,0.26857142857142857,12
15,172,-8703.571881148295,-1203.3361227730475,7.5544284732266345,0.44557152677336553,0.27325581395348836,16
16,174,-2586.736804899101,-18.122967915769696,7.4008448660605595,0.5991551339394405,0.21839080459770116,14
17,173,-1580.8489455116433,-0.48362525683478896,7.726549488762153,0.27345051123784714,0.3872832369942196,32
18,165,-17831.28567503277,-15357.35638100168,7.253256326389182,0.7467436736108182,0.46060606060606063,31
19,168,-17227.999825761635,-15262.05800334775,7.672635717486234,0.32736428251376637,0.47023809523809523,23
20,167,-16487.007815675046,-15237.38571256601,7.628933113116591,0.3710668868834093,0.38922155688622756,10
21,175,-16113.062828062815,-15237.38571256601,7.455228757267255,0.5447712427327449,0.3942857142857143,11
22,158,-15920.185153271443,-15237.38571256601,7.133883455224548,0.8661165447754522,0.3037974683544304,8
23,165,-6875.503493022109,-15.292039808970836,6.485647804154023,1.5143521958459774,0.2727272727272727,8
24,169,-5543.975029323989,-15.292039808970836,7.535033069299245,0.4649669307007551,0.33136094674556216,13
25,163,-3735.4893231756596,-14.292039808970836,7.760375467226934,0.23962453277306572,0.3987730061349693,15
26,160,-2543.5146084478247,-0.0,7.3584313996740995,0.6415686003259005,0.45625,17
27,181,-1160.7941738905783,-0.0,6.640056475969823,1.359943524030177,0.47513812154696133,21
28,147,-706.1921809148489,-0.0,6.17628269574562,1.8237173042543802,0.5238095238095238,11
29,155,-628.8080485402704,-0.0,5.804501297732623,2.1954987022673773,0.5225806451612903,7
30,161,-301.55597740428726,-0.0,5.2563212377663735,2.7436787622336265,0.4906832298136646,14
31,164,-551.6678038751413,-0.0,4.928177521868217,3.071822478131783,0.4451219512195122,18
32,164,-553.6046146748067,-0.0,4.590454225821513,3.409545774178487,0.4878048780487805,21
33,161,-617.0116873126029,-0.0,4.068240723045848,3.9317592769541516,0.4658385093167702,9
34,166,-280.9984492123619,-0.0,4.298364477007294,3.7016355229927056,0.5421686746987951,11
35,166,-333.8513325560262,-60.13168328257104,4.006106861716323,3.993893138283677,0.4759036144578313,4
36,149,-297.982006862286,-60.13168328257104,4.883986440564904,3.116013559435096,0.40939597315436244,9
37,164,-451.29392077357556,-59.13168328257104,5.8559883383262825,2.1440116616737175,0.4878048780487805,15
38,160,-360.50149744676116,-59.13168328257104,6.019737030266256,1.9802629697337437,0.5625,15
39,158,-313.98766329499006,-59.13168328257104,5.655403764243619,2.3445962357563808,0.4873417721518987,11
40,167,-281.50290083688157,-59.13168328257104,4.997579184302721,3.0024208156972794,0.437125748502994,9
41,175,-25088.966506567587,-19014.601173879986,4.472150725605836,3.527849274394164,0.4857142857142857,17
42,165,-21584.990839251623,-18958.387503533748,5.2173727896438855,2.7826272103561145,0.40606060606060607,15
43,171,-20803.391534434562,-18515.851597350033,5.92933029850213,2.07066970149787,0.3157894736842105,11
44,165,-4252.51001545708,-3.1369077950634696,6.198374996174861,1.801625003825139,0.30303030303030304,6
45,160,-7487.142169796765,-2044.7918349032443,6.690607642285654,1.309392357714346,0.25625,12
46,162,-5489.693168794011,-2044.7918349032443,6.820246648346718,1.1797533516532823,0.3271604938271605,10
47,161,-4805.910516045946,-29.439470367430246,6.406124653606408,1.5938753463935917,0.2670807453416149,3
48,182,-3636.0227005190195,-1.137809183289352,7.094275974530624,0.9057240254693761,0.36813186813186816,24
49,176,-2698.872397536324,-1.137809183289352,7.154883654080119,0.8451163459198812,0.42045454545454547,28
50,172,-1402.3278507509835,-1.137809183289352,6.803930272693735,1.1960697273062646,0.3546511627906977,27
51,167,-472.2104303208922,-0.711269159962395,6.104701528889377,1.8952984711106229,0.281437125748503,13
52,178,-279.7828353998046,-0.711269159962395,5.752969034919815,2.247030965080185,0.3539325842696629,19
53,175,-236.70976889026758,-0.711269159962395,5.257276057137613,2.742723942862387,0.44571428571428573,22
54,164,-400.38787028280615,-0.711269159962395,4.9683146493124575,3.0316853506875425,0.38414634146341464,12
55,171,-464.63002191045877,-0.711269159962395,4.834867193504884,3.165132806495116,0.36257309941520466,17
56,176,-290.7823129136728,-0.711269159962395,4.405221600855599,3.594778399144401,0.2897727272727273,12
57,168,-459.7781747619908,-0.711269159962395,4.544556308535999,3.4554436914640014,0.2916666666666667,7
58,162,-222.33289357387144,-0.711269159962395,4.325733724356334,3.6742662756436664,0.2345679012345679,10
59,189,-267.03833008590533,-0.711269159962395,3.5424325442342735,4.4575674557657265,0.20105820105820105,10
60,169,-349.46010225026424,-10.653001792153052,3.366483922369114,4.633516077630886,0.21893491124260356,9
61,172,-261.94848801729796,-5.71122796810867,3.8745905833411074,4.125409416658893,0.26744186046511625,21
62,171,-315.1868406333307,-5.71122796810867,4.551146622258188,3.4488533777418118,0.22807017543859648,14
63,153,-164.65014568190148,-5.71122796810867,4.217892066650457,3.7821079333495433,0.2222222222222222,6
64,164,-300.73707197282596,-5.71122796810867,4.287145657757659,3.7128543422423412,0.2682926829268293,8
65,159,-250.13965083703673,-5.71122796810867,4.114364828821798,3.885635171178202,0.2578616352201258,8
66,170,-261.26487627588085,-5.71122796810867,4.276607256427371,3.723392743572629,0.2529411764705882,7
67,196,-516.9257818909673,-40.0633732767033,3.6710663815497337,4.328933618450266,0.22448979591836735,14
68,162,-393.4844520981218,-2.1296229720298925,4.026963236875233,3.9730367631247674,0.25308641975308643,14
69,158,-666.791091752379,-2.1296229720298925,4.867001870527463,3.1329981294725373,0.310126582278481,23
70,166,-472.56534417356676,-2.1296229720298925,5.399281234900293,2.600718765099707,0.3855421686746988,27
71,160,-521.3397202195953,-2.1296229720298925,5.331786961940824,2.668213038059176,0.4875,29
72,176,-21213.40457808538,-11005.748164195771,4.9853886005171955,3.0146113994828045,0.4943181818181818,25
73,169,-19927.371732003037,-10873.835137677812,5.945384553481778,2.0546154465182216,0.5384615384615384,30
74,160,-1686.270212373395,-40.013489218593875,6.652203462559007,1.3477965374409928,0.50625,30
75,169,-899.0423947613247,-40.013489218593875,6.340098228853391,1.6599017711466093,0.4911242603550296,21
76,153,-427.81558734601816,-40.013489218593875,5.72013427946114,2.2798657205388597,0.43790849673202614,17
77,171,-504.53357452250424,-10.491386424203824,5.313039433885422,2.6869605661145783,0.5497076023391813,12
78,163,-16815.24008018202,-12107.76143590234,5.49045901355967,2.5095409864403297,0.6196319018404908,16
79,169,-16089.749281863491,-12107.76143590234,6.339155501790169,1.6608444982098307,0.5443786982248521,10
80,173,-15214.678921702895,-12055.851774512903,7.02173952329908,0.9782604767009202,0.5144508670520231,9
81,159,-14417.480718832092,-12050.384855071195,7.084028003312476,0.9159719966875244,0.5157232704402516,12
82,178,-4534.675448338264,-86.28588795180418,6.889002401181133,1.1109975988188667,0.46629213483146065,15
83,172,-2828.0084965854903,-8.888845199250976,6.755173940027265,1.244826059972735,0.48255813953488375,34
84,144,-4675.686622454717,-16.039049785562778,6.5412349793167435,1.4587650206832565,0.5416666666666666,34
85,174,-1943.6244326124122,-0.11589545246225619,6.006881265618269,1.9931187343817314,0.632183908045977,37
86,162,-21712.272191220298,-8342.15598198349,5.764851298378458,2.235148701621542,0.5679012345679012,30
87,178,-19102.435745876155,-7253.583181527378,6.6180562464332375,1.3819437535667625,0.6067415730337079,29
88,161,-16635.191497001288,-7249.166728901355,6.720777240115046,1.279222759884954,0.5962732919254659,30
89,165,-918.0703773362291,-10.118317581772086,7.242150213239784,0.7578497867602163,0.5393939393939394,19
90,162,-566.6306847581396,-10.118317581772086,7.140582064866778,0.8594179351332221,0.46296296296296297,11
91,167,-417.1567042696635,-10.118317581772086,6.839665694105561,1.1603343058944393,0.40718562874251496,5
